lon,lat,mMax,pdf
-126.5,24.6,,2.34775762502702e-25
-126.4,24.6,,2.58874557099523e-25
-126.3,24.6,,2.85200783245237e-25
-126.2,24.6,,3.13922337790263e-25
-126.1,24.6,,3.45235100393425e-25
-126.0,24.6,,3.79346143836904e-25
-125.9,24.6,,4.16451347779524e-25
-125.8,24.6,,4.56780171250191e-25
-125.7,24.6,,5.00590056086214e-25
-125.6,24.6,,5.48104864754818e-25
-125.5,24.6,,5.99615618463396e-25
-125.4,24.6,,6.55357372802536e-25
-125.3,24.6,,7.15688307719798e-25
-125.2,24.6,,7.80888251299213e-25
-125.1,24.6,,8.51237031624814e-25
-125.0,24.6,,9.27126408014245e-25
-124.9,24.6,,1.00883620855154e-24
-124.8,24.6,,1.09681415817114e-24
-124.7,24.6,,1.19145201619071e-24
-124.6,24.6,,1.29302961069426e-24
-124.5,24.6,,1.40205063223306e-24
-124.4,24.6,,1.51896280574156e-24
-124.3,24.6,,1.64410192492059e-24
-124.2,24.6,,1.77797168032141e-24
-124.1,24.6,,1.92101979687848e-24
-124.0,24.6,,2.07374996514305e-24
-123.9,24.6,,2.23666587566638e-24
-123.8,24.6,,2.41010332214931e-24
-123.7,24.6,,2.59473389199351e-24
-123.6,24.6,,2.79100531013343e-24
-123.5,24.6,,2.99947723273714e-24
-123.4,24.6,,3.22054141912228e-24
-123.3,24.6,,3.45481349107373e-24
-123.2,24.6,,3.70285310475954e-24
-123.1,24.6,,3.96505201949736e-24
-123.0,24.6,,4.24202585707206e-24
-122.9,24.6,,4.53427830803490e-24
-122.8,24.6,,4.84225709732033e-24
-122.7,24.6,,5.16652188109641e-24
-122.6,24.6,,5.50752038429759e-24
-122.5,24.6,,5.86575629747513e-24
-122.4,24.6,,6.24128558624584e-24
-122.3,24.6,,6.63528352856265e-24
-122.2,24.6,,7.04775012442556e-24
-122.1,24.6,,7.47868537383457e-24
-122.0,24.6,,7.92920858912581e-24
-121.9,24.6,,8.39931977029928e-24
-121.8,24.6,,8.88845926118691e-24
-121.7,24.6,,9.39830603029290e-24
-121.6,24.6,,9.92774076528111e-24
-121.5,24.6,,1.04778827784877e-23
-121.4,24.6,,1.10481724137445e-23
-121.3,24.6,,1.16391693272198e-23
-121.2,24.6,,1.22497542065772e-23
-121.1,24.6,,1.28816060203211e-23
-121.0,24.6,,1.35330457999472e-23
-120.9,24.6,,1.42046332016235e-23
-120.8,24.6,,1.48958085691821e-23
-120.7,24.6,,1.56065719026230e-23
-120.6,24.6,,1.63363635457780e-23
-120.5,24.6,,1.70840641863110e-23
-120.4,24.6,,1.78502334803902e-23
-120.3,24.6,,1.86331924595112e-23
-120.2,24.6,,1.94329411236742e-23
-120.1,24.6,,2.02483601605429e-23
-120.0,24.6,,2.10788899139494e-23
-119.9,24.6,,2.19228514153894e-23
-119.8,24.6,,2.27796850086948e-23
-119.7,24.6,,2.36488310376977e-23
-119.6,24.6,,2.45286105338937e-23
-119.5,24.6,,2.54173445287788e-23
-119.4,24.6,,2.63139137100168e-23
-119.3,24.6,,2.72171987652715e-23
-119.2,24.6,,2.81266400383749e-23
-119.1,24.6,,2.90388795923187e-23
-119.0,24.6,,2.99539174271028e-23
-118.9,24.6,,3.08683956057188e-23
-118.8,24.6,,3.17828737843348e-23
-118.7,24.6,,3.26934343697743e-23
-118.6,24.6,,3.36000773620374e-23
-118.5,24.6,,3.44994448241157e-23
