lon,lat,mMax,pdf
-126.5,24.6,,2.27248725554367e-25
-126.4,24.6,,2.50574899862760e-25
-126.3,24.6,,2.76057093069143e-25
-126.2,24.6,,3.03857819160800e-25
-126.1,24.6,,3.34166677789564e-25
-126.0,24.6,,3.67184102873089e-25
-125.9,24.6,,4.03099694063207e-25
-125.8,24.6,,4.42135553809209e-25
-125.7,24.6,,4.84540870224932e-25
-125.6,24.6,,5.30532328626757e-25
-125.5,24.6,,5.80391619925980e-25
-125.4,24.6,,6.34346263704800e-25
-125.3,24.6,,6.92742956469426e-25
-125.2,24.6,,7.55852554865335e-25
-125.1,24.6,,8.23945915538002e-25
-125.0,24.6,,8.97402237791094e-25
-124.9,24.6,,9.76492378270087e-25
-124.8,24.6,,1.06164970760774e-24
-124.7,24.6,,1.15325342510773e-24
-124.6,24.6,,1.25157438741552e-24
-124.5,24.6,,1.35710013649297e-24
-124.4,24.6,,1.47026404297284e-24
-124.3,24.6,,1.59139113482971e-24
-124.2,24.6,,1.72096895402543e-24
-124.1,24.6,,1.85943087119276e-24
-124.0,24.6,,2.00726442829357e-24
-123.9,24.6,,2.16495716728969e-24
-123.8,24.6,,2.33283411615572e-24
-123.7,24.6,,2.51154533084079e-24
-123.6,24.6,,2.70152418197766e-24
-123.5,24.6,,2.90331238285728e-24
-123.4,24.6,,3.11728913278332e-24
-123.3,24.6,,3.34405031637583e-24
-123.2,24.6,,3.58413764692576e-24
-123.1,24.6,,3.83793032373678e-24
-123.0,24.6,,4.10602423142892e-24
-122.9,24.6,,4.38890691196406e-24
-122.8,24.6,,4.68701173597495e-24
-122.7,24.6,,5.00088041675254e-24
-122.6,24.6,,5.33094632492960e-24
-122.5,24.6,,5.67769700246798e-24
-122.4,24.6,,6.04118662069678e-24
-122.3,24.6,,6.42255277752699e-24
-122.2,24.6,,6.82179547295862e-24
-122.1,24.6,,7.23891470699166e-24
-122.0,24.6,,7.67499390620803e-24
-121.9,24.6,,8.13003307060771e-24
-121.8,24.6,,8.60349048689977e-24
-121.7,24.6,,9.09699129495705e-24
-121.6,24.6,,9.60945206819765e-24
-121.5,24.6,,1.01419562332035e-23
-121.4,24.6,,1.06939620766836e-23
-121.3,24.6,,1.12660113119289e-23
-121.2,24.6,,1.18570205123575e-23
-121.1,24.6,,1.24686148178423e-23
-121.0,24.6,,1.30991690885105e-23
-120.9,24.6,,1.37492250376529e-23
-120.8,24.6,,1.44182409519786e-23
-120.7,24.6,,1.51062168314877e-23
-120.6,24.6,,1.58126109628891e-23
-120.5,24.6,,1.65363399196010e-23
-120.4,24.6,,1.72779454149142e-23
-120.3,24.6,,1.80358023089561e-23
-120.2,24.6,,1.88099106017265e-23
-120.1,24.6,,1.95991868666436e-23
-120.0,24.6,,2.04030893904164e-23
-119.9,24.6,,2.12199930331720e-23
-119.8,24.6,,2.20493560816195e-23
-119.7,24.6,,2.28906368224680e-23
-119.6,24.6,,2.37422101158445e-23
-119.5,24.6,,2.46024508218763e-23
-119.4,24.6,,2.54702755139814e-23
-119.3,24.6,,2.63446007655780e-23
-119.2,24.6,,2.72248848633750e-23
-119.1,24.6,,2.81078775276268e-23
-119.0,24.6,,2.89935787583333e-23
-118.9,24.6,,2.98787382757489e-23
-118.8,24.6,,3.07638977931645e-23
-118.7,24.6,,3.16452653175434e-23
-118.6,24.6,,3.25228408488856e-23
-118.5,24.6,,3.33933741074455e-23
-118.4,24.6,,3.42563233799320e-23
-118.3,24.6,,3.51095218131815e-23
-118.2,24.6,,3.59513442673209e-23
-118.1,24.6,,3.67790821758955e-23
-118.0,24.6,,3.75921938256145e-23
-117.9,24.6,,3.83868872234411e-23
-117.8,24.6,,3.91637040826663e-23
-117.7,24.6,,3.99199358368353e-23
-117.6,24.6,,4.06528739194933e-23
-117.5,24.6,,4.13625183306405e-23
-117.4,24.6,,4.20456187905309e-23
-117.3,24.6,,4.27010918725829e-23
-117.2,24.6,,4.33278541502143e-23
-117.1,24.6,,4.39237387702615e-23
-117.0,24.6,,4.44871205928516e-23
-116.9,24.6,,4.50169161914027e-23
-116.8,24.6,,4.55120421393328e-23
-116.7,24.6,,4.59708732967692e-23
-116.6,24.6,,4.63923262371298e-23
-116.5,24.6,,4.67758592471239e-23
-116.4,24.6,,4.71187637602965e-23
-116.3,24.6,,4.74226649165206e-23
-116.2,24.6,,4.76843124360504e-23
-116.1,24.6,,4.79047897454678e-23
-116.0,24.6,,4.80830134181911e-23
-115.9,24.6,,4.82184417409291e-23
-115.8,24.6,,4.83105330003909e-23
-115.7,24.6,,4.83592871965766e-23
-115.6,24.6,,4.83652460427771e-23
-115.5,24.6,,4.83278678257014e-23
-115.4,24.6,,4.82466108320586e-23
-115.3,24.6,,4.81225584884306e-23
-115.2,24.6,,4.79567942213992e-23
-115.1,24.6,,4.77476928910918e-23
-115.0,24.6,,4.74979630639629e-23
-114.9,24.6,,4.72065213134307e-23
-114.8,24.6,,4.68760762059500e-23
-114.7,24.6,,4.65050026016479e-23
-114.6,24.6,,4.60976342068520e-23
-114.5,24.6,,4.56512624551075e-23
-114.4,24.6,,4.51707627660331e-23
-114.3,24.6,,4.46550517130468e-23
-114.2,24.6,,4.41052127227305e-23
-114.1,24.6,,4.35244960748299e-23
-114.0,24.6,,4.29129017693451e-23
-113.9,24.6,,4.22725966594398e-23
-113.8,24.6,,4.16052058849870e-23
-113.7,24.6,,4.09118128725684e-23
-113.6,24.6,,4.01945844753479e-23
-113.5,24.6,,3.94551458331984e-23
-113.4,24.6,,3.86951220859928e-23
-113.3,24.6,,3.79155966603128e-23
-113.2,24.6,,3.71192781226134e-23
-113.1,24.6,,3.63077916127673e-23
-113.0,24.6,,3.54827622706474e-23
-112.9,24.6,,3.46458152361265e-23
-112.8,24.6,,3.37985756490776e-23
-112.7,24.6,,3.29426686493734e-23
-112.6,24.6,,3.20813445167597e-23
-112.5,24.6,,3.12140615379456e-23
-112.4,24.6,,3.03440699926767e-23
-112.3,24.6,,2.94724533075349e-23
-112.2,24.6,,2.86002949091021e-23
-112.1,24.6,,2.77292199372513e-23
-112.0,24.6,,2.68613952451462e-23
-111.9,24.6,,2.59984459726597e-23
-111.8,24.6,,2.51398304065007e-23
-111.7,24.6,,2.42893405397061e-23
-111.6,24.6,,2.34464346589848e-23
-111.5,24.6,,2.26132796175006e-23
-111.4,24.6,,2.17898754152535e-23
-111.3,24.6,,2.09789306186984e-23
-111.2,24.6,,2.01799035145442e-23
-111.1,24.6,,1.93938775293728e-23
-111.0,24.6,,1.86230195163481e-23
-110.9,24.6,,1.78667877621791e-23
-110.8,24.6,,1.71257239801567e-23
-110.7,24.6,,1.64014533101539e-23
-110.6,24.6,,1.56939757521706e-23
-110.5,24.6,,1.50032913062068e-23
-110.4,24.6,,1.43310251121353e-23
-110.3,24.6,,1.36766354566653e-23
-110.2,24.6,,1.30406640530877e-23
-110.1,24.6,,1.24231109014024e-23
-110.0,24.6,,1.18245177149004e-23
-109.9,24.6,,1.12448844935818e-23
-109.8,24.6,,1.06847529507374e-23
-109.7,24.6,,1.01430396597854e-23
-109.6,24.6,,9.62028633401668e-24
-109.5,24.6,,9.11649297343132e-24
-109.4,24.6,,8.63165957802927e-24
-109.3,24.6,,8.16524443451960e-24
-109.2,24.6,,7.71724754290229e-24
-109.1,24.6,,7.28766890317735e-24
-109.0,24.6,,6.87596680205382e-24
-108.9,24.6,,6.48159952624076e-24
-108.8,24.6,,6.10456707573816e-24
-108.7,24.6,,5.74432773725508e-24
-108.6,24.6,,5.40050231148784e-24
-108.5,24.6,,5.07281994179097e-24
-108.4,24.6,,4.76084725753171e-24
-108.3,24.6,,4.46420505940639e-24
-108.2,24.6,,4.18224329146587e-24
-108.1,24.6,,3.91469109706468e-24
-108.0,24.6,,3.66106093424095e-24
-107.9,24.6,,3.42081108970373e-24
-107.8,24.6,,3.19345402149117e-24
-107.7,24.6,,2.97861053029961e-24
-107.6,24.6,,2.77579307416718e-24
-107.5,24.6,,2.58451411113202e-24
-107.4,24.6,,2.40428609923229e-24
-107.3,24.6,,2.23462149650612e-24
-107.2,24.6,,2.07508693232076e-24
-107.1,24.6,,1.92530320737253e-24
-107.0,24.6,,1.78467443704139e-24
-106.9,24.6,,1.65292976468186e-24
-106.8,24.6,,1.52952747700299e-24
-106.7,24.6,,1.41408837470112e-24
-106.6,24.6,,1.30617908714348e-24
-106.5,24.6,,1.20547458635550e-24
-106.4,24.6,,1.11154150170442e-24
-106.3,24.6,,1.02405480521567e-24
-106.2,24.6,,9.42526954927396e-25
-106.1,24.6,,8.66795436852306e-25
-106.0,24.6,,7.96426880357640e-25
-105.9,24.6,,7.31150428797923e-25
-105.8,24.6,,6.70586882869489e-25
-105.7,24.6,,6.14519557255956e-25
-105.6,24.6,,5.62677595311849e-25
-105.5,24.6,,5.14698049132230e-25
-105.4,24.6,,4.70412987596903e-25
-105.3,24.6,,4.29556971193303e-25
-105.2,24.6,,3.91902480339229e-25
-105.1,24.6,,3.57238246851210e-25
-105.0,24.6,,3.25347585412866e-25
-104.9,24.6,,2.96040896372362e-25
-104.8,24.6,,2.69144831476595e-25
-104.7,24.6,,2.44464373940822e-25
-104.6,24.6,,2.21853261176485e-25
-104.5,24.6,,2.01159813462118e-25
-104.4,24.6,,1.82232351076255e-25
-104.3,24.6,,1.64940862829067e-25
-104.2,24.6,,1.49155337530726e-25
-104.1,24.6,,1.34762015390131e-25
-104.0,24.6,,1.21652553749092e-25
-103.9,24.6,,1.09724027082329e-25
-103.8,24.6,,9.88735098645602e-26
-103.7,24.6,,8.90197451021432e-26
-103.6,24.6,,8.00760586685256e-26
-103.5,24.6,,7.19666107029741e-26
-103.4,24.6,,6.46209784776649e-26
-103.3,24.6,,5.79741563976837e-26
-103.2,24.6,,5.19643891478622e-26
-103.1,24.6,,4.65369636858140e-26
-103.0,24.6,,4.16398755356079e-26
-102.9,24.6,,3.72249122143490e-26
-102.8,24.6,,3.32492783720523e-26
-102.7,24.6,,2.96718037986052e-26
-102.6,24.6,,2.64556519902231e-26
-102.5,24.6,,2.35677784361580e-26
-102.4,24.6,,2.09762220522436e-26
-102.3,24.6,,1.86533554606414e-26
-102.2,24.6,,1.65726347100947e-26
-102.1,24.6,,1.47113078423836e-26
-102.0,24.6,,1.30477063258700e-26
-101.9,24.6,,1.15617867687887e-26
-101.8,24.6,,1.02362143458291e-26
-101.7,24.6,,9.05419594497184e-27
-101.6,24.6,,8.00218873394304e-27
-101.5,24.6,,7.06556645388702e-27
-101.4,24.6,,6.23349483898474e-27
-101.3,24.6,,5.49459791012620e-27
-101.2,24.6,,4.83879980009970e-27
-101.1,24.6,,4.25764978156639e-27
-101.0,24.6,,3.74296798383289e-27
-100.9,24.6,,3.28760379145863e-27
-100.8,24.6,,2.88511081628129e-27
-100.7,24.6,,2.52963855475859e-27
-100.6,24.6,,2.21598655929737e-27
-100.5,24.6,,1.93955026692456e-27
-100.4,24.6,,1.69610431397073e-27
-100.3,24.6,,1.48191087872831e-27
-100.2,24.6,,1.29361133879339e-27
-100.1,24.6,,1.12828044239484e-27
-100.0,24.6,,9.83155451748797e-28
-126.5,24.7,,3.16371396181791e-25
-126.4,24.7,,3.48830856575635e-25
-126.3,24.7,,3.84280574335534e-25
-126.2,24.7,,4.22975154708236e-25
-126.1,24.7,,4.65152951541760e-25
-126.0,24.7,,5.11084821481580e-25
-125.9,24.7,,5.61052455438993e-25
-125.8,24.7,,6.15386298521480e-25
-125.7,24.7,,6.74378875906153e-25
-125.6,24.7,,7.38355215567585e-25
-125.5,24.7,,8.07748688138537e-25
-125.4,24.7,,8.82830150264485e-25
-125.3,24.7,,9.64032972578191e-25
-125.2,24.7,,1.05179052571242e-24
-125.1,24.7,,1.14653618029992e-24
-125.0,24.7,,1.24870330697347e-24
-124.9,24.7,,1.35877944769492e-24
-124.8,24.7,,1.47730631575522e-24
-124.7,24.7,,1.60466311045803e-24
-124.6,24.7,,1.74149988775251e-24
-124.5,24.7,,1.88830418960050e-24
-124.4,24.7,,2.04567190062206e-24
-124.3,24.7,,2.21414473410814e-24
-124.2,24.7,,2.39442691733696e-24
-124.1,24.7,,2.58706016359950e-24
-124.0,24.7,,2.79264035751578e-24
-123.9,24.7,,3.01192589769316e-24
-123.8,24.7,,3.24551266875166e-24
-123.7,24.7,,3.49410489796954e-24
-123.6,24.7,,3.75829846996683e-24
-123.5,24.7,,4.03896012600907e-24
-123.4,24.7,,4.33663157938719e-24
-123.3,24.7,,4.65207122870855e-24
-123.2,24.7,,4.98598330125136e-24
-123.1,24.7,,5.33896368163569e-24
-123.0,24.7,,5.71182493979796e-24
-122.9,24.7,,6.10510878902911e-24
-122.8,24.7,,6.52006116989835e-24
-122.7,24.7,,6.95668208240567e-24
-122.6,24.7,,7.41551323984202e-24
-122.5,24.7,,7.89763806878930e-24
-122.4,24.7,,8.40359828253848e-24
-122.3,24.7,,8.93339388108954e-24
-122.2,24.7,,9.48865000431535e-24
-122.1,24.7,,1.00688249389249e-23
-122.0,24.7,,1.06750021115002e-23
-121.9,24.7,,1.13071815220412e-23
-121.8,24.7,,1.19664465971298e-23
-121.7,24.7,,1.26517139101841e-23
-121.6,24.7,,1.33646086010770e-23
-121.5,24.7,,1.41045889565174e-23
-121.4,24.7,,1.48721966897964e-23
-121.3,24.7,,1.56668900876230e-23
-121.2,24.7,,1.64892108632881e-23
-121.1,24.7,,1.73391590167918e-23
-121.0,24.7,,1.82156511215522e-23
-120.9,24.7,,1.91192288908601e-23
-120.8,24.7,,2.00488088981338e-23
-120.7,24.7,,2.10049328566641e-23
-120.6,24.7,,2.19859756265781e-23
-120.5,24.7,,2.29919372078760e-23
-120.4,24.7,,2.40217341739758e-23
-120.3,24.7,,2.50753665248774e-23
-120.2,24.7,,2.61501256941262e-23
-120.1,24.7,,2.72470951083040e-23
