lon,lat,mMax,pdf
-126.1,35.2,,7.85479276118215e-13
-126.0,35.2,,2.17868928526755e-12
-125.9,35.2,,5.76130992037857e-12
-125.8,35.2,,1.44399530717422e-11
-125.7,35.2,,3.42349336796639e-11
-125.6,35.2,,7.64600875819095e-11
-125.5,35.2,,1.60650826085385e-10
-125.4,35.2,,3.16787403457447e-10
-125.3,35.2,,5.86288051642834e-10
-125.2,35.2,,1.01683452267602e-09
-125.1,35.2,,1.65390787234374e-09
-125.0,35.2,,2.52120790639094e-09
-124.9,35.2,,3.60237047323181e-09
-124.8,35.2,,4.82347475018570e-09
-124.7,35.2,,6.05473608674457e-09
-124.6,35.2,,7.12122734526715e-09
-124.5,35.2,,7.84350713939884e-09
-124.4,35.2,,8.10307644041492e-09
-124.3,35.2,,7.84350713939884e-09
-124.2,35.2,,7.12122734526715e-09
-124.1,35.2,,6.05473608674457e-09
-124.0,35.2,,4.82347475018570e-09
-123.9,35.2,,3.60237047323181e-09
-123.8,35.2,,2.52120790639094e-09
-123.7,35.2,,1.65390787234374e-09
-123.6,35.2,,1.01683452267602e-09
-123.5,35.2,,5.85723770553669e-10
-123.4,35.2,,3.16335978586114e-10
-123.3,35.2,,1.60086544996219e-10
-123.2,35.2,,7.59522346016607e-11
-123.1,35.2,,3.37440091320900e-11
-123.0,35.2,,1.40562419311097e-11
-122.9,35.2,,5.48876215431169e-12
-122.8,35.2,,2.00827639633960e-12
-122.7,35.2,,6.88422928781769e-13
-126.1,35.3,,2.72773478502547e-12
-126.0,35.3,,7.55572378392449e-12
-125.9,35.3,,1.99473365019963e-11
-125.8,35.3,,4.99614476347031e-11
-125.7,35.3,,1.18273316289065e-10
-125.6,35.3,,2.63970693511567e-10
-125.5,35.3,,5.53954745233658e-10
-125.4,35.3,,1.09131962644585e-09
-125.3,35.3,,2.01843345594458e-09
-125.2,35.3,,3.49910703391455e-09
-125.1,35.3,,5.68795337878707e-09
-125.0,35.3,,8.66735752958030e-09
-124.9,35.3,,1.23746842853969e-08
-124.8,35.3,,1.65616499670040e-08
