lon,lat,rate
-122.35,45.40,8.1506590e-07
-122.30,45.40,3.6411740e-05
-122.25,45.40,8.1506590e-07
-122.40,45.45,8.1877084e-07
-122.35,45.45,1.8713553e-03
-122.30,45.45,8.1766799e-02
-122.25,45.45,1.8713553e-03
-122.20,45.45,8.1873424e-07
-122.45,45.50,8.2456893e-07
-122.40,45.50,1.8776585e-03
-122.35,45.50,8.3519332e-02
-122.30,45.50,8.5395455e-02
-122.25,45.50,8.3518513e-02
-122.20,45.50,1.8412292e-03
-122.55,45.55,8.2915477e-07
-122.50,45.55,3.7131405e-05
-122.45,45.55,1.8924467e-03
-122.40,45.55,8.3429463e-02
-122.35,45.55,8.5320406e-02
-122.30,45.55,8.5320398e-02
-122.25,45.55,8.3432533e-02
-122.20,45.55,1.8514812e-03
-122.60,45.60,8.3292940e-07
-122.55,45.60,1.9018573e-03
-122.50,45.60,8.3342493e-02
-122.45,45.60,8.5208125e-02
-122.40,45.60,8.5244447e-02
-122.35,45.60,8.5244432e-02
-122.30,45.60,8.3343409e-02
-122.25,45.60,1.9020416e-03
-122.20,45.60,8.2740610e-07
-122.60,45.65,1.8760950e-03
-122.55,45.65,8.3256170e-02
-122.50,45.65,8.5168466e-02
-122.45,45.65,8.5169293e-02
-122.40,45.65,8.5168466e-02
-122.35,45.65,8.3256990e-02
-122.30,45.65,1.9122855e-03
-122.25,45.65,8.3332492e-07
-122.60,45.70,1.8873541e-03
-122.55,45.70,8.3205976e-02
-122.50,45.70,8.5092396e-02
-122.45,45.70,8.5056245e-02
-122.40,45.70,8.3173618e-02
-122.35,45.70,1.9188969e-03
-122.30,45.70,8.3835897e-07
-122.60,45.75,1.8969810e-03
-122.55,45.75,8.3082326e-02
-122.50,45.75,8.3083160e-02
-122.45,45.75,1.9339116e-03
-122.40,45.75,3.7019312e-05
-122.35,45.75,8.4087941e-07
-122.60,45.80,8.4817719e-07
-122.55,45.80,3.7037542e-05
-122.50,45.80,3.7037542e-05
-122.45,45.80,8.4813820e-07
