lon,lat,rate
-70.4,47.0,2.0477612e-05
-70.5,47.1,2.0477612e-05
-70.4,47.1,2.0477612e-05
-70.3,47.1,2.0477612e-05
-70.6,47.2,2.0477612e-05
-70.5,47.2,2.0477612e-05
-70.4,47.2,2.0477612e-05
-70.3,47.2,2.0477612e-05
-70.2,47.2,2.0477612e-05
-70.7,47.3,2.0477612e-05
-70.6,47.3,2.0477612e-05
-70.5,47.3,2.0477612e-05
-70.4,47.3,2.0477612e-05
-70.3,47.3,2.0477612e-05
-70.2,47.3,2.0477612e-05
-70.1,47.3,2.0477612e-05
-70.7,47.4,2.0477612e-05
-70.6,47.4,2.0477612e-05
-70.5,47.4,2.0477612e-05
-70.4,47.4,2.0477612e-05
-70.3,47.4,2.0477612e-05
-70.2,47.4,2.0477612e-05
-70.1,47.4,2.0477612e-05
-70.0,47.4,2.0477612e-05
-69.9,47.4,2.0477612e-05
-70.7,47.5,2.0477612e-05
-70.6,47.5,2.0477612e-05
-70.5,47.5,2.0477612e-05
-70.4,47.5,2.0477612e-05
-70.3,47.5,2.0477612e-05
-70.2,47.5,2.0477612e-05
-70.1,47.5,2.0477612e-05
-70.0,47.5,2.0477612e-05
-69.9,47.5,2.0477612e-05
-69.8,47.5,2.0477612e-05
-70.6,47.6,2.0477612e-05
-70.5,47.6,2.0477612e-05
-70.4,47.6,2.0477612e-05
-70.3,47.6,2.0477612e-05
-70.2,47.6,2.0477612e-05
-70.1,47.6,2.0477612e-05
-70.0,47.6,2.0477612e-05
-69.9,47.6,2.0477612e-05
-69.8,47.6,2.0477612e-05
-69.7,47.6,2.0477612e-05
-70.5,47.7,2.0477612e-05
-70.4,47.7,2.0477612e-05
-70.3,47.7,2.0477612e-05
-70.2,47.7,2.0477612e-05
-70.1,47.7,2.0477612e-05
-70.0,47.7,2.0477612e-05
-69.9,47.7,2.0477612e-05
-69.8,47.7,2.0477612e-05
-69.7,47.7,2.0477612e-05
-69.6,47.7,2.0477612e-05
-70.4,47.8,2.0477612e-05
-70.3,47.8,2.0477612e-05
-70.2,47.8,2.0477612e-05
-70.1,47.8,2.0477612e-05
-70.0,47.8,2.0477612e-05
-69.9,47.8,2.0477612e-05
-69.8,47.8,2.0477612e-05
-69.7,47.8,2.0477612e-05
-69.6,47.8,2.0477612e-05
-70.1,47.9,2.0477612e-05
-70.0,47.9,2.0477612e-05
-69.9,47.9,2.0477612e-05
